code,affinity,Kd/Ki,afftype
3ao4,2.07,Kd=8.5mM,Kd
3gv9,2.12,Ki=7.5mM,Ki
1uto,2.27,Kd=5.32mM,Kd
1ps3,2.28,Ki=5.2mM,Ki
4ddk,2.29,Kd=5.1mM,Kd
4jsz,2.3,Ki=5000uM,Ki
3g2z,2.36,Ki=4.4mM,Ki
3dxg,2.4,Ki=4.0mM,Ki
3l7b,2.4,Ki=4.01mM,Ki
3gr2,2.52,Ki=3mM,Ki
3kgp,2.57,Ki=2.68mM,Ki
3fcq,2.77,Ki=1.7mM,Ki
3lka,2.82,Kd=1.5mM,Kd
3zt2,2.84,Kd=1435uM,Kd
3udh,2.85,Kd=1.4mM,Kd
3g31,2.89,Ki=1.3mM,Ki
4llx,2.89,Ki=1300uM,Ki
4u4s,2.92,Kd=1200uM,Kd
4owm,2.96,Ki=1090uM,Ki
5aba,2.98,Kd=1040uM,Kd
2xdl,3.1,Kd=790uM,Kd
4kz6,3.1,Ki=0.8mM,Ki
2ymd,3.16,Kd=693uM,Kd
3aru,3.22,Kd=600uM,Kd
1bcu,3.28,Kd=0.53mM,Kd
3zsx,3.28,Kd=519uM,Kd
4ddh,3.3,Kd=0.5mM,Kd
4mrw,3.3,Ki=500uM,Ki
4eky,3.52,Ki=303.0uM,Ki
4mrz,3.52,Ki=300uM,Ki
4abg,3.57,Kd=271uM,Kd
5a7b,3.57,Kd=271uM,Kd
3dx1,3.58,Ki=265uM,Ki
4bkt,3.62,Kd=240uM,Kd
2v00,3.66,Kd=0.22mM,Kd
4cig,3.67,Kd=214uM,Kd
3n7a,3.7,Ki=200uM,Ki
3d6q,3.76,Ki=172uM,Ki
2hb1,3.8,Ki=160uM,Ki
3twp,3.92,Ki=119uM,Ki
4agn,3.97,Kd=107uM,Kd
1c5z,4.01,Ki=97uM,Ki
3nq9,4.03,Kd=92.6uM,Kd
4msn,4.03,Ki=94uM,Ki
2w66,4.05,Ki=89uM,Ki
3kwa,4.08,Ki=84uM,Ki
3g2n,4.09,Ki=81uM,Ki
4cr9,4.1,Ki=80uM,Ki
4ih5,4.11,Kd=78uM,Kd
4de2,4.12,Ki=76.0uM,Ki
3ozt,4.13,Ki=74.9uM,Ki
3f3a,4.19,Ki=64.8uM,Ki
1a30,4.3,Ki=50uM,Ki
3ivg,4.3,Kd=50uM,Kd
3u9q,4.38,Ki=41.7uM,Ki
3rsx,4.41,Kd=38.8uM,Kd
3pxf,4.43,Kd=37uM,Kd
2wbg,4.45,Ki=35.2uM,Ki
3rr4,4.55,Ki=28.05uM,Ki
4w9c,4.65,Kd=22.2uM,Kd
3mss,4.66,Kd=22uM,Kd
4agp,4.69,Kd=20.6uM,Kd
4mgd,4.69,Kd=20.19uM,Kd
1vso,4.72,Ki=18.98uM,Ki
4jxs,4.74,Ki=18uM,Ki
1q8t,4.76,Kd=17.5uM,Kd
3acw,4.76,Ki=17.5uM,Ki
4lzs,4.8,Kd=16uM,Kd
3r88,4.82,Ki=15uM,Ki
4ciw,4.82,Ki=15.0uM,Ki
2w4x,4.85,Kd=14uM,Kd
2brb,4.86,Ki=13.7uM,Ki
1p1q,4.89,Kd=12.8uM,Kd
3d4z,4.89,Ki=13uM,Ki
1bzc,4.92,Ki=12uM,Ki
1nc3,5.0,Ki=10uM,Ki
4agq,5.01,Kd=9.7uM,Kd
4w9l,5.02,Kd=9.52uM,Kd
2yge,5.06,Kd=8.62uM,Kd
5c1w,5.06,Ki=8.7uM,Ki
2r9w,5.1,Ki=8uM,Ki
3gy4,5.1,Kd=8uM,Kd
3syr,5.1,Ki=7.9uM,Ki
3zso,5.12,Kd=7.6uM,Kd
2br1,5.14,Ki=7.2uM,Ki
1s38,5.15,Ki=7.0uM,Ki
3b27,5.16,Kd=6.9uM,Kd
4gkm,5.17,Ki=6.8uM,Ki
4m0z,5.19,Kd=6.4uM,Kd
1w4o,5.22,Ki=6uM,Ki
3ueu,5.24,Kd=5.81uM,Kd
4ih7,5.24,Kd=5.8uM,Kd
4jfs,5.27,Ki=5.4uM,Ki
3ozs,5.33,Ki=4645nM,Ki
3bv9,5.36,Ki=4.4uM,Ki
1gpk,5.37,Ki=4.3uM,Ki
1syi,5.44,Ki=3590nM,Ki
2cbv,5.48,Kd=3.3uM,Kd
1ydr,5.52,Ki=3.0uM,Ki
4de3,5.52,Ki=3.0uM,Ki
3coz,5.57,Kd=2.7uM,Kd
2wca,5.6,Ki=2.5uM,Ki
3u5j,5.61,Kd=2.46uM,Kd
4dli,5.62,Kd=2.40uM,Kd
1z9g,5.64,Ki=2.3uM,Ki
3arv,5.64,Kd=2.3uM,Kd
3n86,5.64,Ki=2.3uM,Ki
5c28,5.66,Ki=2.2uM,Ki
4j28,5.7,Ki=2.0uM,Ki
3jvr,5.72,Ki=1.89uM,Ki
1o5b,5.77,Ki=1.7uM,Ki
2y5h,5.79,Ki=1620nM,Ki
3qqs,5.82,Ki=1.5uM,Ki
3wz8,5.82,Ki=1.5uM,Ki
4dld,5.82,Ki=1.5uM,Ki
3ehy,5.85,Ki=1.4uM,Ki
3uev,5.89,Kd=1.29uM,Kd
3ebp,5.91,Ki=1.24uM,Ki
1o0h,5.92,Ki=1.2uM,Ki
1q8u,5.96,Kd=1.1uM,Kd
