code,affinity,Kd/Ki,afftype
2r58,2.0,Kd=10mM,Kd
3c2f,2.0,Kd=10.1mM,Kd
3g2y,2.0,Ki=10mM,Ki
3pce,2.0,Ki=10mM,Ki
4qsu,2.0,Kd=10mM,Kd
4qsv,2.0,Kd=10mM,Kd
1jfh,2.05,Ki=9mM,Ki
4u54,2.06,Kd=8.7mM,Kd
4cs9,2.1,Kd=8mM,Kd
2w8w,2.12,Kd=7.5mM,Kd
4q90,2.15,Ki=7.0mM,Ki
5cs3,2.15,Kd=7.0mM,Kd
4tim,2.16,Ki=6.9mM,Ki
3gqz,2.17,Ki=6.7mM,Ki
3l7d,2.18,Ki=6.55mM,Ki
4ahr,2.19,Kd=6.5mM,Kd
4ahs,2.19,Kd=6.4mM,Kd
4mre,2.19,Kd=6.4mM,Kd
1x8d,2.21,Kd=6.16mM,Kd
4g0z,2.21,Kd=6.13mM,Kd
1m0n,2.22,Ki=6.0mM,Ki
2aac,2.22,Kd=6mM,Kd
4aci,2.22,Kd=6mM,Kd
4ury,2.22,Kd=6.0mM,Kd
4x11,2.22,Kd=6mM,Kd
1ajp,2.23,Ki=5.85mM,Ki
2igv,2.23,Kd=5.9mM,Kd
3ao5,2.23,Kd=5.9mM,Kd
3i3b,2.23,Ki=5.9mM,Ki
1ew8,2.26,Ki=5.5mM,Ki
3ao1,2.26,Kd=5.5mM,Kd
4np2,2.26,Kd=5.5mM,Kd
4ahu,2.27,Kd=5.4mM,Kd
3ip8,2.28,Ki=5.2mM,Ki
3dyo,2.3,Ki=5.0mM,Ki
3kgq,2.3,Ki=5mM,Ki
3mhw,2.3,Ki=5.03mM,Ki
3pcg,2.3,Ki=5mM,Ki
3rv4,2.3,Ki=5mM,Ki
4g0y,2.3,Kd=4.99mM,Kd
1m0o,2.31,Ki=4.9mM,Ki
4y0a,2.31,Ki=4950uM,Ki
5aol,2.32,Kd=4800uM,Kd
4iie,2.34,Ki=4.6mM,Ki
3gtc,2.35,Ki=4.5mM,Ki
3t0d,2.37,Ki=4.3mM,Ki
6rnt,2.37,Kd=4.3mM,Kd
